Tanggal,IR-64 I
14-Oct-18,10350
15-Oct-18,10350
16-Oct-18,10350
17-Oct-18,10350
18-Oct-18,10300
19-Oct-18,10300
20-Oct-18,10300
21-Oct-18,10300
22-Oct-18,10325
23-Oct-18,10325
24-Oct-18,10375
25-Oct-18,10375
26-Oct-18,10425
27-Oct-18,10425
28-Oct-18,10425
29-Oct-18,10475
30-Oct-18,10500
31-Oct-18,10500
01-Nov-18,10450
02-Nov-18,10450
03-Nov-18,10450
04-Nov-18,10450
05-Nov-18,10450
06-Nov-18,10475
07-Nov-18,10500
08-Nov-18,10525
09-Nov-18,10525
10-Nov-18,10525
11-Nov-18,10525
12-Nov-18,10550
13-Nov-18,10550
14-Nov-18,10550
15-Nov-18,10550
16-Nov-18,10550
17-Nov-18,10550
18-Nov-18,10550
19-Nov-18,10550
20-Nov-18,10550
21-Nov-18,10550
22-Nov-18,10550
23-Nov-18,10550
24-Nov-18,10550
25-Nov-18,10550
26-Nov-18,10550
27-Nov-18,10550
28-Nov-18,10550
29-Nov-18,10550
30-Nov-18,10550
01-Dec-18,10550
02-Dec-18,10550
03-Dec-18,10550
04-Dec-18,10550
05-Dec-18,10550
06-Dec-18,10550
07-Dec-18,10550
08-Dec-18,10550
09-Dec-18,10550
10-Dec-18,10550
11-Dec-18,10550
12-Dec-18,10550
13-Dec-18,10600
14-Dec-18,10600
15-Dec-18,10600
16-Dec-18,10600
17-Dec-18,10600
18-Dec-18,10600
19-Dec-18,10600
20-Dec-18,10625
21-Dec-18,10650
22-Dec-18,10650
23-Dec-18,10650
24-Dec-18,10650
25-Dec-18,10650
26-Dec-18,10700
27-Dec-18,10750
28-Dec-18,10800
29-Dec-18,10800
30-Dec-18,10800
31-Dec-18,10800
01-Jan-19,10800
02-Jan-19,10875
03-Jan-19,10950
04-Jan-19,11000
05-Jan-19,11000
06-Jan-19,11000
07-Jan-19,11050
08-Jan-19,11125
09-Jan-19,11175
10-Jan-19,11175
11-Jan-19,11125
12-Jan-19,11125
13-Jan-19,11125
14-Jan-19,11100
15-Jan-19,11075
16-Jan-19,11050
17-Jan-19,11050
18-Jan-19,11050
19-Jan-19,11050
20-Jan-19,11050
21-Jan-19,11050
22-Jan-19,11000
23-Jan-19,11025
24-Jan-19,11025
25-Jan-19,11025
26-Jan-19,11025
27-Jan-19,11025
28-Jan-19,11000
29-Jan-19,11000
30-Jan-19,11000
31-Jan-19,11000
01-Feb-19,11000
02-Feb-19,11000
03-Feb-19,11000
04-Feb-19,11000
05-Feb-19,11000
06-Feb-19,11000
07-Feb-19,10975
08-Feb-19,10950
09-Feb-19,10950
10-Feb-19,10950
11-Feb-19,10950
12-Feb-19,10925
13-Feb-19,10900
14-Feb-19,10900
15-Feb-19,10875
16-Feb-19,10875
17-Feb-19,10875
18-Feb-19,10850
19-Feb-19,10825
20-Feb-19,10825
21-Feb-19,10825
22-Feb-19,10825
23-Feb-19,10825
24-Feb-19,10800
25-Feb-19,10775
26-Feb-19,10775
27-Feb-19,10775
28-Feb-19,10800
01-Mar-19,10800
02-Mar-19,10800
03-Mar-19,10800
04-Mar-19,10800
05-Mar-19,10775
06-Mar-19,10775
07-Mar-19,10775
08-Mar-19,10750
09-Mar-19,10750
10-Mar-19,10750
11-Mar-19,10725
12-Mar-19,10725
13-Mar-19,10700
14-Mar-19,10675
15-Mar-19,10650
16-Mar-19,10650
17-Mar-19,10650
18-Mar-19,10650
19-Mar-19,10650
20-Mar-19,10625
21-Mar-19,10600
22-Mar-19,10575
23-Mar-19,10575
24-Mar-19,10575
25-Mar-19,10550
26-Mar-19,10550
27-Mar-19,10550
28-Mar-19,10550
29-Mar-19,10525
30-Mar-19,10525
31-Mar-19,10525
01-Apr-19,10500
02-Apr-19,10500
03-Apr-19,10500
04-Apr-19,10500
05-Apr-19,10500
06-Apr-19,10500
07-Apr-19,10500
08-Apr-19,10475
09-Apr-19,10475
10-Apr-19,10450
11-Apr-19,10450
12-Apr-19,10450
13-Apr-19,10450
14-Apr-19,10450
15-Apr-19,10425
16-Apr-19,10400
17-Apr-19,10400
18-Apr-19,10400
19-Apr-19,10400
20-Apr-19,10400
21-Apr-19,10400
22-Apr-19,10400
23-Apr-19,10375
24-Apr-19,10375
25-Apr-19,10375
26-Apr-19,10350
27-Apr-19,10350
28-Apr-19,10350
29-Apr-19,10375
30-Apr-19,10400
01-May-19,10400
02-May-19,10425
03-May-19,10450
04-May-19,10450
05-May-19,10450
06-May-19,10450
07-May-19,10450
08-May-19,10475
09-May-19,10500
10-May-19,10500
11-May-19,10500
12-May-19,10500
13-May-19,10500
14-May-19,10550
15-May-19,10525
16-May-19,10525
17-May-19,10550
18-May-19,10550
19-May-19,10550
20-May-19,10550
21-May-19,10550
22-May-19,10525
23-May-19,10550
24-May-19,10550
25-May-19,10550
26-May-19,10550
27-May-19,10575
28-May-19,10550
29-May-19,10550
